# BEGIN PLOT
Legend=1
LogY=1
Title=Cross section as a function of $\eta^{\mathrm{jet2}}$ for $\mathrm{M}_{4j} \geq 50$ GeV
XLabel=$\eta^{\mathrm{jet2}}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta^{\mathrm{jet2}}$(pb)
DrawOnly=/ZEUS_2007_I756660/d18-x01-y02 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LHCPWR.yoda/ZEUS_2007_I756660/d18-x01-y02 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LHCLOG.yoda/ZEUS_2007_I756660/d18-x01-y02 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LEPPWR.yoda/ZEUS_2007_I756660/d18-x01-y02 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LEPLOG.yoda/ZEUS_2007_I756660/d18-x01-y02 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/NOMPI.yoda/ZEUS_2007_I756660/d18-x01-y02
LegendOnly=/ZEUS_2007_I756660/d18-x01-y02 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LHCPWR.yoda/ZEUS_2007_I756660/d18-x01-y02 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LHCLOG.yoda/ZEUS_2007_I756660/d18-x01-y02 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LEPPWR.yoda/ZEUS_2007_I756660/d18-x01-y02 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LEPLOG.yoda/ZEUS_2007_I756660/d18-x01-y02 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/NOMPI.yoda/ZEUS_2007_I756660/d18-x01-y02
RatioPlot=1
RatioPlotReference=/ZEUS_2007_I756660/d18-x01-y02
# END PLOT

# BEGIN HISTO1D /ZEUS_2007_I756660/d18-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ZEUS_2007_I756660/d18-x01-y02
PolyMarker=*
Title=ZEUS
# xlow	 xhigh	 val	 errminus	 errplus
-1.686000e+00	-1.371000e+00	8.000000e-02	9.433981e-02	2.158703e-01
-1.371000e+00	-1.057000e+00	3.100000e+00	1.462874e+00	5.243091e+00
-1.057000e+00	-7.430000e-01	7.600000e+00	1.857418e+00	2.258318e+00
-7.430000e-01	-4.290000e-01	1.520000e+01	3.154362e+00	3.514257e+00
-4.290000e-01	-1.140000e-01	2.290000e+01	7.049113e+00	5.597321e+00
-1.140000e-01	2.000000e-01	2.090000e+01	3.702702e+00	4.679744e+00
2.000000e-01	5.140000e-01	2.640000e+01	6.222540e+00	4.355456e+00
5.140000e-01	8.290000e-01	3.380000e+01	1.025963e+01	6.946942e+00
8.290000e-01	1.143000e+00	2.810000e+01	4.937611e+00	6.354526e+00
1.143000e+00	1.457000e+00	2.540000e+01	6.021628e+00	6.664833e+00
1.457000e+00	1.771000e+00	2.940000e+01	5.790509e+00	6.113919e+00
1.771000e+00	2.086000e+00	4.330000e+01	9.820896e+00	1.086324e+01
2.086000e+00	2.400000e+00	5.100000e+01	1.574802e+01	1.813836e+01
# END HISTO1D


# BEGIN HISTO1D //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LHCPWR.yoda/ZEUS_2007_I756660/d18-x01-y02
LineColor=red
LineStyle=solid
Path=//home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LHCPWR.yoda/ZEUS_2007_I756660/d18-x01-y02
ScaledBy=6.78500016577271853e-02
Title=LHC/POWER
# xlow	 xhigh	 val	 errminus	 errplus
-1.686000e+00	-1.371000e+00	3.005051e-01	3.005051e-01	3.005051e-01
-1.371000e+00	-1.057000e+00	4.321640e+00	1.039050e+00	1.039050e+00
-1.057000e+00	-7.430000e-01	1.874329e+01	2.206635e+00	2.206635e+00
-7.430000e-01	-4.290000e-01	4.062341e+01	3.185665e+00	3.185665e+00
-4.290000e-01	-1.140000e-01	7.138121e+01	4.217958e+00	4.217958e+00
-1.140000e-01	2.000000e-01	7.345736e+01	4.301937e+00	4.301937e+00
2.000000e-01	5.140000e-01	8.561701e+01	4.684993e+00	4.684993e+00
