# BEGIN PLOT
Legend=1
LogY=1
Title=Cross section as a function of $\eta^{\mathrm{jet3}}$ for $\mathrm{M}_{3j} \geq 50$ GeV
XLabel=$\eta^{\mathrm{jet3}}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta^{\mathrm{jet3}}$(pb)
DrawOnly=/ZEUS_2007_I756660/d16-x01-y02 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LHCPWR.yoda/ZEUS_2007_I756660/d16-x01-y02 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LHCLOG.yoda/ZEUS_2007_I756660/d16-x01-y02 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LEPPWR.yoda/ZEUS_2007_I756660/d16-x01-y02 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LEPLOG.yoda/ZEUS_2007_I756660/d16-x01-y02 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/NOMPI.yoda/ZEUS_2007_I756660/d16-x01-y02
LegendOnly=/ZEUS_2007_I756660/d16-x01-y02 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LHCPWR.yoda/ZEUS_2007_I756660/d16-x01-y02 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LHCLOG.yoda/ZEUS_2007_I756660/d16-x01-y02 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LEPPWR.yoda/ZEUS_2007_I756660/d16-x01-y02 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LEPLOG.yoda/ZEUS_2007_I756660/d16-x01-y02 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/NOMPI.yoda/ZEUS_2007_I756660/d16-x01-y02
RatioPlot=1
RatioPlotReference=/ZEUS_2007_I756660/d16-x01-y02
# END PLOT

# BEGIN HISTO1D /ZEUS_2007_I756660/d16-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ZEUS_2007_I756660/d16-x01-y02
PolyMarker=*
Title=ZEUS
# xlow	 xhigh	 val	 errminus	 errplus
-2.000000e+00	-1.686000e+00	1.900000e+00	1.590597e+00	1.590597e+00
-1.686000e+00	-1.371000e+00	2.610000e+01	7.675285e+00	1.007720e+01
-1.371000e+00	-1.057000e+00	7.000000e+01	1.846619e+01	1.676305e+01
-1.057000e+00	-7.430000e-01	1.040000e+02	2.467793e+01	2.830194e+01
-7.430000e-01	-4.290000e-01	1.000000e+02	1.897367e+01	2.244994e+01
-4.290000e-01	-1.140000e-01	9.700000e+01	1.897367e+01	1.574802e+01
-1.140000e-01	2.000000e-01	9.200000e+01	1.652271e+01	1.500000e+01
2.000000e-01	5.140000e-01	8.900000e+01	1.760682e+01	2.111871e+01
5.140000e-01	8.290000e-01	9.800000e+01	1.951922e+01	2.034699e+01
8.290000e-01	1.143000e+00	9.500000e+01	1.732051e+01	1.897367e+01
1.143000e+00	1.457000e+00	8.900000e+01	1.574802e+01	1.500000e+01
1.457000e+00	1.771000e+00	1.030000e+02	1.931321e+01	2.009975e+01
1.771000e+00	2.086000e+00	1.380000e+02	2.657066e+01	2.736786e+01
2.086000e+00	2.400000e+00	2.220000e+02	5.270674e+01	4.809366e+01
# END HISTO1D


# BEGIN HISTO1D //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LHCPWR.yoda/ZEUS_2007_I756660/d16-x01-y02
LineColor=red
LineStyle=solid
Path=//home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LHCPWR.yoda/ZEUS_2007_I756660/d16-x01-y02
ScaledBy=6.78500016577271853e-02
Title=LHC/POWER
# xlow	 xhigh	 val	 errminus	 errplus
-2.000000e+00	-1.686000e+00	1.597954e+00	6.440238e-01	6.440238e-01
-1.686000e+00	-1.371000e+00	3.848971e+01	3.150436e+00	3.150436e+00
-1.371000e+00	-1.057000e+00	1.095293e+02	5.204054e+00	5.204054e+00
-1.057000e+00	-7.430000e-01	1.588867e+02	6.272978e+00	6.272978e+00
-7.430000e-01	-4.290000e-01	1.737995e+02	6.608129e+00	6.608129e+00
-4.290000e-01	-1.140000e-01	1.771943e+02	6.679884e+00	6.679884e+00
-1.140000e-01	2.000000e-01	1.466828e+02	6.098274e+00	6.098274e+00
2.000000e-01	5.140000e-01	1.207550e+02	5.481081e+00	5.481081e+00
5.140000e-01	8.290000e-01	1.147420e+02	5.314956e+00	5.314956e+00
8.290000e-01	1.143000e+00	1.107352e+02	5.238863e+00	5.238863e+00
1.143000e+00	1.457000e+00	1.375273e+02	5.899856e+00	5.899856e+00
1.457000e+00	1.771000e+00	1.597995e+02	6.335517e+00	6.335517e+00
1.771000e+00	2.086000e+00	2.135720e+02	7.307623e+00	7.307623e+00
2.086000e+00	2.400000e+00	3.202041e+02	8.932545e+00	8.932545e+00
# END HISTO1D


# BEGIN HISTO1D //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LHCLOG.yoda/ZEUS_2007_I756660/d16-x01-y02
LineColor=blue
LineStyle=solid
