# BEGIN PLOT
Legend=1
LogY=1
Title=Cross section as a function of $x_{obs}^{\gamma}$ for $25 \leq \mathrm{M}_{4j} \leq 50$ GeV
XLabel=$x_{obs}^{\gamma}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}x_{obs}^{\gamma}$(pb)
DrawOnly=/ZEUS_2007_I756660/d04-x01-y01 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LHCPWR.yoda/ZEUS_2007_I756660/d04-x01-y01 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LHCLOG.yoda/ZEUS_2007_I756660/d04-x01-y01 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LEPPWR.yoda/ZEUS_2007_I756660/d04-x01-y01 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LEPLOG.yoda/ZEUS_2007_I756660/d04-x01-y01 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/NOMPI.yoda/ZEUS_2007_I756660/d04-x01-y01
LegendOnly=/ZEUS_2007_I756660/d04-x01-y01 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LHCPWR.yoda/ZEUS_2007_I756660/d04-x01-y01 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LHCLOG.yoda/ZEUS_2007_I756660/d04-x01-y01 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LEPPWR.yoda/ZEUS_2007_I756660/d04-x01-y01 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LEPLOG.yoda/ZEUS_2007_I756660/d04-x01-y01 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/NOMPI.yoda/ZEUS_2007_I756660/d04-x01-y01
RatioPlot=1
RatioPlotReference=/ZEUS_2007_I756660/d04-x01-y01
# END PLOT

# BEGIN HISTO1D /ZEUS_2007_I756660/d04-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ZEUS_2007_I756660/d04-x01-y01
PolyMarker=*
Title=ZEUS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.100000e-01	4.900000e+00	3.721559e+00	5.555178e+00
1.100000e-01	2.200000e-01	1.000000e+02	4.273172e+01	4.891830e+01
2.200000e-01	3.300000e-01	2.100000e+02	6.970653e+01	7.035624e+01
3.300000e-01	4.700000e-01	1.770000e+02	4.223742e+01	4.920366e+01
4.700000e-01	6.200000e-01	1.360000e+02	3.192178e+01	3.593049e+01
6.200000e-01	7.500000e-01	9.400000e+01	2.222611e+01	3.056141e+01
7.500000e-01	8.500000e-01	1.130000e+02	3.819686e+01	4.469899e+01
8.500000e-01	9.350000e-01	1.250000e+02	3.443835e+01	2.968164e+01
9.350000e-01	1.000000e+00	2.200000e+01	1.349074e+01	7.000000e+00
# END HISTO1D


# BEGIN HISTO1D //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LHCPWR.yoda/ZEUS_2007_I756660/d04-x01-y01
LineColor=red
LineStyle=solid
Path=//home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LHCPWR.yoda/ZEUS_2007_I756660/d04-x01-y01
ScaledBy=6.78500016577271853e-02
Title=LHC/POWER
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.100000e-01	1.985245e+01	3.812835e+00	3.812835e+00
1.100000e-01	2.200000e-01	1.230671e+03	2.971219e+01	2.971219e+01
2.200000e-01	3.300000e-01	2.616401e+03	4.337955e+01	4.337955e+01
3.300000e-01	4.700000e-01	2.080694e+03	3.431580e+01	3.431580e+01
4.700000e-01	6.200000e-01	1.014159e+03	2.319037e+01	2.319037e+01
6.200000e-01	7.500000e-01	3.544480e+02	1.454667e+01	1.454667e+01
7.500000e-01	8.500000e-01	1.924748e+02	1.218716e+01	1.218716e+01
8.500000e-01	9.350000e-01	1.425293e+02	1.155190e+01	1.155190e+01
9.350000e-01	1.000000e+00	3.626469e+01	6.937184e+00	6.937184e+00
# END HISTO1D


# BEGIN HISTO1D //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LHCLOG.yoda/ZEUS_2007_I756660/d04-x01-y01
LineColor=blue
LineStyle=solid
Path=//home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LHCLOG.yoda/ZEUS_2007_I756660/d04-x01-y01
ScaledBy=6.78534754945669949e-02
Title=LHC/LOG
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.100000e-01	2.467395e+00	1.326581e+00	1.326581e+00
1.100000e-01	2.200000e-01	4.332318e+01	5.478230e+00	5.478230e+00
2.200000e-01	3.300000e-01	1.244015e+02	9.599638e+00	9.599638e+00
3.300000e-01	4.700000e-01	1.032898e+02	7.700205e+00	7.700205e+00
4.700000e-01	6.200000e-01	7.180847e+01	6.194938e+00	6.194938e+00
6.200000e-01	7.500000e-01	7.314523e+01	6.732340e+00	6.732340e+00
7.500000e-01	8.500000e-01	1.021904e+02	8.945393e+00	8.945393e+00
8.500000e-01	9.350000e-01	1.107177e+02	1.033771e+01	1.033771e+01
9.350000e-01	1.000000e+00	2.257777e+01	5.007072e+00	5.007072e+00
# END HISTO1D


